"","disease","method","type","BTM","C1","C2","C3","C4","C5","C6","C7","H","TISSUES"
"1","colon","Concatenation","supervised",0,0,12,11,1,7,0,61,0,0
"2","colon","DIABLO_full","supervised",23,0,113,0,46,216,0,218,7,16
"3","colon","DIABLO_null","supervised",0,0,21,6,1,0,0,62,2,0
"4","colon","Ensemble","supervised",0,0,3,2,2,0,0,10,0,0
"5","colon","JIVE","unsupervised",0,0,15,8,0,19,0,1,0,2
"6","colon","MOFA","unsupervised",4,0,14,5,1,36,0,87,0,12
"7","colon","sGCCA","unsupervised",0,0,5,14,0,147,0,11,0,0
"8","gbm","Concatenation","supervised",10,0,258,14,47,526,30,432,19,10
"9","gbm","DIABLO_full","supervised",30,0,426,34,125,693,21,869,19,44
"10","gbm","DIABLO_null","supervised",10,0,312,15,62,776,24,147,20,14
"11","gbm","Ensemble","supervised",9,0,358,15,50,669,24,173,23,12
"12","gbm","JIVE","unsupervised",0,0,275,94,49,825,22,460,12,18
"13","gbm","MOFA","unsupervised",0,0,337,64,43,708,25,82,8,29
"14","gbm","sGCCA","unsupervised",19,0,193,37,68,706,18,526,8,21
"15","kidney","Concatenation","supervised",0,0,10,4,7,55,0,93,1,0
"16","kidney","DIABLO_full","supervised",0,1,4,1,0,0,0,18,0,0
"17","kidney","DIABLO_null","supervised",0,0,15,23,3,46,0,10,1,0
"18","kidney","Ensemble","supervised",0,0,5,35,1,27,0,13,0,0
"19","kidney","JIVE","unsupervised",1,0,42,8,17,157,0,0,6,2
"20","kidney","MOFA","unsupervised",0,0,33,80,6,110,0,74,3,0
"21","kidney","sGCCA","unsupervised",0,1,7,1,0,1,0,15,0,0
"22","lung","Concatenation","supervised",0,1,0,50,0,0,3,0,0,0
"23","lung","DIABLO_full","supervised",0,1,33,19,13,193,7,100,0,20
"24","lung","DIABLO_null","supervised",2,0,1,21,18,22,5,72,0,9
"25","lung","Ensemble","supervised",0,0,0,26,0,25,2,7,1,0
"26","lung","JIVE","unsupervised",0,0,4,48,17,35,1,18,0,0
"27","lung","MOFA","unsupervised",0,0,17,20,0,127,0,13,2,0
"28","lung","sGCCA","unsupervised",0,0,2,57,47,42,1,78,0,0
